"OWNER","OBJECT_NAME","OBJECT_TYPE"
"PUBLIC","ABSPATH","SYNONYM"
"PUBLIC","ACCHK_EVENTS","SYNONYM"
"PUBLIC","ACCHK_SESSION","SYNONYM"
"PUBLIC","ACCHK_STATISTICS","SYNONYM"
"PUBLIC","ADR_HOME_T","SYNONYM"
"PUBLIC","ADR_INCIDENT_CORR_KEYS_T","SYNONYM"
"PUBLIC","ADR_INCIDENT_ERR_ARGS_T","SYNONYM"
"PUBLIC","ADR_INCIDENT_FILES_T","SYNONYM"
"PUBLIC","ADR_INCIDENT_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_ARGS_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_ARG_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_ECID_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_ERRID_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_SUPPL_ATTRS_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_SUPPL_ATTR_T","SYNONYM"
"PUBLIC","ADR_LOG_MSG_T","SYNONYM"
"PUBLIC","ADVISOR_OBJECT","SYNONYM"
"PUBLIC","ALERT_TYPE","SYNONYM"
"PUBLIC","ALL_ALL_TABLES","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEWS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEWS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_ATTR_CLASS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_ATTR_CLS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_ATTR_CLS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_BASE_MEAS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_BAS_MEAS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_BAS_MEAS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_CALC_MEAS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_CLASS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_CLASS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_CLC_MEAS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_CLC_MEAS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_COLUMNS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_COLUMNS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_DIMENSIONS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_DIMS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_DIMS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_DIM_CLASS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_DIM_CLS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_DIM_CLS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_HIERS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_HIERS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_HIER_CLASS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_HIER_CLS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_HIER_CLS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_KEYS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_KEYS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LEVELS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LEVELS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LEVEL_CLASS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LVLGRPS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LVLGRPS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LVL_CLS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_LVL_CLS_AE","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_MEAS_CLASS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_MEAS_CLS","SYNONYM"
"PUBLIC","ALL_ANALYTIC_VIEW_MEAS_CLS_AE","SYNONYM"
"PUBLIC","ALL_APPLY","SYNONYM"
"PUBLIC","ALL_APPLY_CHANGE_HANDLERS","SYNONYM"
"PUBLIC","ALL_APPLY_CONFLICT_COLUMNS","SYNONYM"
"PUBLIC","ALL_APPLY_DML_CONF_COLUMNS","SYNONYM"
"PUBLIC","ALL_APPLY_DML_CONF_HANDLERS","SYNONYM"
"PUBLIC","ALL_APPLY_DML_HANDLERS","SYNONYM"
"PUBLIC","ALL_APPLY_ENQUEUE","SYNONYM"
"PUBLIC","ALL_APPLY_ERROR","SYNONYM"
"PUBLIC","ALL_APPLY_ERROR_MESSAGES","SYNONYM"
"PUBLIC","ALL_APPLY_EXECUTE","SYNONYM"
"PUBLIC","ALL_APPLY_HANDLE_COLLISIONS","SYNONYM"
"PUBLIC","ALL_APPLY_INSTANTIATED_GLOBAL","SYNONYM"
"PUBLIC","ALL_APPLY_INSTANTIATED_OBJECTS","SYNONYM"
"PUBLIC","ALL_APPLY_INSTANTIATED_SCHEMAS","SYNONYM"
"PUBLIC","ALL_APPLY_KEY_COLUMNS","SYNONYM"
"PUBLIC","ALL_APPLY_PARAMETERS","SYNONYM"
